anio,pib_percapita_usd,pib_percapita_ppp,crecimiento_pib_pct,remesas_pct_pib,inflacion_cpi_pct,fdi_pct_pib,fbkf_pct_pib,desempleo_pct,exportaciones_pct_pib,indice_desarrollo_hum
2000,2139,5240,2.2,15,2.3,0.8,16.5,7,26.8,0.62
2001,2178,5470,1.7,14.8,3.8,1.1,16.2,7,25.7,0.624
2002,2238,5620,2.3,15.1,1.9,1.6,15.8,6.2,24.4,0.629
2003,2309,5840,2.3,15.8,2.1,0.7,16.3,6.9,26.1,0.635
2004,2430,6100,1.9,17.1,4.5,1.7,16.9,6.8,27.2,0.642
2005,2550,6480,3.6,17.9,4.7,2.2,17.2,7.2,27.8,0.65
2006,2776,7020,3.9,18.2,4,1,17.8,6.6,28.2,0.654
2007,3019,7590,3.8,18.8,4.6,1.5,18.4,6.3,28.4,0.658
2008,3393,8180,1.3,18.5,7.3,2.3,18.6,5.9,28.6,0.661
2009,3430,8390,-3.1,17.2,0.5,0.4,14.8,7.1,24,0.659
2010,3381,8350,1.4,17.5,0.9,0.1,15.2,6.8,26.7,0.663
2011,3569,8720,2.2,17.1,5.1,1.5,16.3,6.6,27.3,0.668
2012,3785,9200,1.9,16.7,1.7,2.1,17,6.1,28.5,0.672
2013,3934,9590,2,16.7,0.8,1.6,17.2,5.9,27.8,0.677
2014,3971,9540,1.7,17.6,1.1,1.3,17,7,28.3,0.68
2015,3967,9230,2.4,17.3,-0.7,0.8,16.8,7,28.1,0.674
2016,4082,9410,2.6,17.8,0.6,0.6,17.4,7,29,0.674
2017,4228,9800,2.3,18.6,1,0.8,17.6,7,29.3,0.675
2018,4303,10100,2.4,20.7,1.1,1.7,18.3,7,30.1,0.676
2019,4095,9780,-7.9,23.5,-0.6,0.4,15.1,6.7,24.8,0.673
2020,4383,10380,10.3,26.2,3.5,0.9,19.2,4.5,28.6,0.675
2021,4597,10960,2.8,24,7.2,1.5,20.5,4.3,30.2,0.676
2022,4779,11140,2.8,23.9,7.6,1,21,3.8,29.5,0.678
2023,5155,11424,4,24.5,4,1.6,22.3,5.2,32,0.68
2024,4585,11669,3.5,24,0.9,1.8,22.2,4.7,30.5,0.682
2025,4960,12200,3.9,25,1.8,2,24,5.8,32.1,0.685
